cip_year,source_page,department,project_name,project_type,funding_source,address_location,comp_date,previous_appropriations,spent,remaining,year_2019,year_2020,year_2021,year_2022,year_2023,project_total,start_year,end_year
2018,15,Aviation,36 - TWY B1 Rehabilitate Taxiway B - Phase 4: RWY 18-,U_W216,F_0131,Citywide,,305000,0,305000,0,0,0,0,0,305000,,
2018,15,Aviation,Airfield Pavement Evaluation1,U_D012,F_0131,,,0,0,0,0,0,1000000,0,0,1000000,2021,2021
2018,15,Aviation,Reconstruct RWY 13R-31L,U_W217,F_0131,,,0,0,0,0,11000000,0,0,0,11000000,2020,2020
2018,15,Aviation,Dallas Love Field North Entry Design,U_W287,F_0131,Citywide,,0,0,0,2854155,2000000,0,0,0,4854155,2019,2020
2018,15,Aviation,DEA West Development Payback,U_W285,F_0131,Citywide,,0,0,0,0,0,3500000,4164186,0,7664186,2021,2022
2018,15,Aviation,Master Plan Study,U_Q300,F_013B,Citywide,,264117,264117,0,0,0,0,0,0,264117,,
2018,15,Aviation,DAL-Entrance Road Improvements,U_W167,F_0131,Citywide,,2571988,0,2571988,6000000,0,0,0,0,8571988,2019,2019
2018,15,Aviation,Dalfort Building Demolition,U_P661,F_0131,Citywide,,1050749,1050258,492,500000,0,0,0,0,1550749,2019,2019
2018,15,Aviation,Misc Improvements Stormwater Drainage,U_W007,F_0131,Citywide,,1732300,99162,1633138,1000000,0,0,0,0,2732300,2019,2019
2018,15,Aviation,DEA Water Line Relocation by DWU,U_W259,F_0131,3,,1355864,0,1355864,0,0,0,0,0,1355864,,
2018,15,Aviation,Passenger Facility Charge Program,U_0781,F_0477,Citywide,,49677487,54671946,4994459,0,0,0,0,0,49677487,,
2018,15,Aviation,Rehabilitate Taxiway C Phase 3,U_W281,F_0131,Citywide,,0,0,0,0,0,1400000,0,0,1400000,2021,2021
2018,15,Aviation,Misc Taxi Lane and Apron improvements,U_W283,F_0131,Citywide,,0,0,0,0,0,0,1000000,3443905,4443905,2022,2023
2018,16,Aviation,Reconstruct Taxiway M (B1 to 31R),U_W284,F_0131,Citywide,,0,0,0,0,0,0,0,710250,710250,2023,2023
2018,16,Aviation,RWY 31 R Reonstruct Taxiway A (Phase 1) TWY D to,U_W288,F_A477,Citywide,,0,0,0,0,0,0,1810000,21575000,23385000,2022,2023
