cip_year,source_page,department,project_name,project_id,project_type,funding_source,address_location,comp_date,previous_appropriations,spent,remaining,year_2022,year_2023,project_total,future_cost,start_year,end_year
2021,26,City Facilities,Dallas Museum of Art,VF03,Cultural Facilities,2017 Bonds,14,02/2022,6000000,5638524,361476,0,0,6000000,0,,
2021,26,City Facilities,Days Inn Lancaster- 8312 S. Lancaster Rd,VJ10,Homeless Services Housing,2017 Bonds,8,09/2023,2590,2590,0,0,0,2590,0,,
2021,26,City Facilities,DFD- SCBA and Safety Equipment,E406,Replacement Fleet/Equipment,Other Debt GO CIP -,Citywide,09/2022,4672134,379381,4292753,0,0,4672134,0,,
2021,26,City Facilities,DFD-Ambulance Replacement,E414,Replacement Fleet/Equipment,Other Debt GO CIP -,Citywide,Ongoing,0,0,0,0,6000000,6000000,0,2023,2023
2021,26,City Facilities,DPD In-Car DVR 1/5 Annual Replacement,E409,Technology,Other Debt GO CIP -,Citywide,Ongoing,2277600,0,2277600,0,0,2277600,0,,
2021,26,City Facilities,DPD In-Car DVR 1/5 Annual Replacement,E416,Technology,Other Debt GO CIP -,Citywide,Ongoing,0,0,0,1401600,1401600,2803200,0,2022,2023
2021,26,City Facilities,DPD TAAG Surveillance Camera 1/5 Annual,E410,Technology,Other Debt GO CIP -,Citywide,Ongoing,1063500,608298,455202,0,0,1063500,0,,
2021,27,City Facilities,DPD TAAG Surveillance Camera 1/5 Annual,E417,Technology,Other Debt GO CIP -,Citywide,Ongoing,0,0,0,2127000,2127000,4254000,0,2022,2023
2021,27,City Facilities,EFM - General Fleet,E413,Replacement Fleet/Equipment,Other Debt GO CIP -,Citywide,Ongoing,7500000,0,7500000,0,0,7500000,0,,
2021,27,City Facilities,EFM-General Fleet,E422,Replacement Fleet/Equipment,Other Debt GO CIP -,Citywide,Ongoing,0,0,0,9800000,8800000,18600000,0,2022,2023
2021,27,City Facilities,Electrical Panel Replacement at 37 Facilities,VH07,City Court and Facilities Municipal,2017 Bonds,Citywide,10/2022,1300000,377429,922571,0,0,1300000,0,,
2021,27,City Facilities,Emergency Warning Sirens,W792,City Court and Facilities Municipal,2006 Bonds,Citywide,Ongoing,0,0,0,310000,0,310000,0,2022,2022
2021,27,City Facilities,Enterprise Electronic Document Management,E380,Technology,Other Debt GO CIP -,Citywide,Ongoing,565407,0,565407,0,0,565407,0,,
2021,27,City Facilities,Enterprise Electronic Document Management,E389,Technology,Other Debt GO CIP -,Citywide,Ongoing,725000,0,725000,0,0,725000,0,,
2021,27,City Facilities,Facilities Condition Assessment,W077,City Court and Facilities Municipal,2006 Bonds,Citywide,12/2021,352753,0,352753,0,0,352753,0,,
2021,27,City Facilities,Fire Station # 46,VG02,Fire Facilities Protection,2017 Bonds,3,07/2021,6775492,5700877,1074615,0,0,6775492,0,,
2021,27,City Facilities,Fire Station # 53,VG03,Fire Facilities Protection,2017 Bonds,7,03/2022,3358,3358,0,81642,0,85000,0,2022,2022
2021,27,City Facilities,Fire Station #05,VG04,Fire Facilities Protection,2017 Bonds,5,03/2022,45000,199,44801,0,0,45000,0,,
2021,27,City Facilities,Fire Station #09,VG06,Fire Facilities Protection,2017 Bonds,8,06/2021,63000,61207,1793,0,0,63000,0,,
2021,27,City Facilities,Fire Station #1,VG16,Fire Facilities Protection,2017 Bonds,6,03/2022,3024,3024,0,81975,0,84999,0,2022,2022
2021,27,City Facilities,Fire Station #11,VG07,Fire Facilities Protection,2017 Bonds,14,03/2022,3493,3493,0,81508,0,85001,0,2022,2022
2021,28,City Facilities,Fire Station #11B,VG18,Fire Facilities Protection,2017 Bonds,14,03/2022,3678,3678,0,97322,0,101000,0,2022,2022
2021,28,City Facilities,Fire Station #21,VG19,Fire Facilities Protection,2017 Bonds,2,03/2022,2699,2699,0,82301,0,85000,0,2022,2022
2021,28,City Facilities,Fire Station #24,VG11,Fire Facilities Protection,2017 Bonds,7,03/2022,3083,3083,0,88917,0,92000,0,2022,2022
2021,28,City Facilities,Fire Station #36,VG13,Fire Facilities Protection,2017 Bonds,6,07/2022,6777138,6646232,130906,1496081,0,8273219,0,2022,2022
2021,28,City Facilities,Fire Station #45,VG21,Fire Facilities Protection,2017 Bonds,6,03/2022,3412,3412,0,0,0,3412,0,,
2021,28,City Facilities,Fire Station #5,VG25,Fire Facilities Protection,2017 Bonds,5,03/2022,85000,0,85000,0,0,85000,0,,
2021,28,City Facilities,Fire Station #52,VG22,Fire Facilities Protection,2017 Bonds,3,03/2022,85000,3532,81468,0,0,85000,0,,
2021,28,City Facilities,Fire Station #53,VG23,Fire Facilities Protection,2017 Bonds,7,03/2022,74000,2890,71110,0,0,74000,0,,
2021,28,City Facilities,Fire Station 19 Replacement,VG44,Fire Facilities Protection,2017 Bonds / Other Debt GO CIP -,2,08/2022,7475650,766049,6709601,0,0,7475650,0,,
2021,28,City Facilities,Fire Station 41 Replacement,VG45,Fire Facilities Protection,Other Debt GO CIP -,13,09/2022,7000000,550442,6449558,0,0,7000000,0,,
2021,28,City Facilities,Fire Station Improvements - Generators,W791,Fire Facilities Protection,2006 Bonds,Citywide,Ongoing,0,0,0,638716,0,638716,0,2022,2022
2021,28,City Facilities,Fire Station Temporary Facilities 19 & 41,VG46,Fire Facilities Protection,Other Debt GO CIP -,13,08/2021,2000000,278316,1721684,0,0,2000000,0,,
2021,28,City Facilities,Fleet/Equipment Replacement,8199,Replacement Fleet/Equipment,Other Debt GO CIP -,Citywide,Ongoing,25000000,15151786,9848214,8200000,8200000,41400000,0,2022,2023
2021,28,City Facilities,Fleet/Equipment Replacement - EBS,E323,Replacement Fleet/Equipment,Other Debt GO CIP -,Citywide,Ongoing,3862422,3786780,75642,0,0,3862422,0,,
2021,29,City Facilities,Forest Green Branch Library,VE01,City Court and Facilities Municipal,2017 Bonds,10,07/2021,7483031,7317489,165543,0,0,7483031,0,,
