cip_year,project_type,source_page,department,project_name,start_year,end_year,address_location,previous_appropriations,project_total,year_2024,year_2025,year_2026,year_2027,validation_label
2024,Major Maintenance,32,Other GO CIP - Non-Debt,Major Maintenance and Repairs FY23,2024,2024,Citywide,4832382,8370000,3537618,0,0,0,
2024,Major Maintenance,33,Other GO CIP - Non-Debt,Major Maintenance and Repairs FY25,,,Citywide,0,0,0,0,0,0,
2024,Cultural Facilities,33,Other GO CIP - Non-Debt,Major Maintenance Projects-Arts and Cultural Facilities,2024,2024,Citywide,2303332,2400000,96668,0,0,0,
2024,Cultural Facilities,33,2024 Bonds,Martin Luther King Jr. Library Building C,2025,2025,7,0,262000,0,262000,0,0,
2024,Cultural Facilities,33,2017 Bonds,Meyerson,2024,2024,14,3653438,3800000,146562,0,0,0,
2024,Cultural Facilities,33,2024 Bonds,Meyerson Symphony Center,2025,2027,14,0,7318996,0,4500000,0,2818996,
2024,Homeless Housing Services,33,2017 Bonds,Miramar Hotel- 1950 Fort Worth Ave,2024,2024,1,2696,2347969,2345273,0,0,0,
2024,Cultural Facilities,33,2024 Bonds,Moody Performance Hall,2027,2027,14,0,2308978,0,0,0,2308978,
2024,Cultural Facilities,33,2024 Bonds,Mountain Creek Library,2025,2025,3,0,262000,0,262000,0,0,
2024,Police Facilities,33,2017 Bonds,NE Patrol Station,2024,2024,10,512523,1075220,562696,0,0,0,
2024,Cultural Facilities,33,Other GO CIP - Non-Debt,Non-City Owned Cultural Facility Repair,2024,2024,Citywide,400000,600000,200000,0,0,0,
2024,Police Facilities,33,2024 Bonds,North Central Patrol - HVAC,2027,2027,12,0,16478,0,0,0,16478,
2024,Police Facilities,33,2024 Bonds,North Central Patrol - Interior Upgrades,2027,2027,12,0,1965000,0,0,0,1965000,
2024,Police Facilities,33,2024 Bonds,North Central Patrol - Kitchen,2027,2027,12,0,262000,0,0,0,262000,
2024,Cultural Facilities,33,2024 Bonds,North Oak Cliff Replacement - 338 W. 10th St.,2027,2027,1,0,16182500,0,0,0,16182500,
2024,Police Facilities,33,2024 Bonds,Northeast Patrol - Chiller,2027,2027,10,0,655000,0,0,0,655000,
2024,Police Facilities,34,2024 Bonds,Northeast Patrol - Showers,2027,2027,10,0,655000,0,0,0,655000,
2024,Cultural Facilities,34,2024 Bonds,Oak Cliff Cultural Center,2027,2027,1,0,450000,0,0,0,450000,
2024,Cultural Facilities,34,2024 Bonds,Oak Lawn Library,2025,2025,14,0,262000,0,262000,0,0,
2024,Major Maintenance,34,Other GO CIP - Non-Debt,Oncor Energy Efficiency Program,2024,2024,Citywide,0,194500,194500,0,0,0,
2024,City and Municipal Court Facilities,34,Other GO CIP - Debt,Outdoor Warning Sirens,2024,2024,Citywide,81239,371435,290196,0,0,0,
2024,Technology,34,Capital Projects Reimbursemen t,P25 Radio Project,2024,2024,Citywide,848707,924360,75653,0,0,0,
2024,Cultural Facilities,34,2024 Bonds,Park Forest Replacement - 3728 High Vista Dr.,2027,2027,13,0,16182500,0,0,0,16182500,
2024,Homeless Housing Services,34,2024 Bonds,Permanent Supportive Housing Projects (Prop I),2025,2027,Citywide,0,6700000,0,2000000,1175000,3525000,
2024,Cultural Facilities,34,2006 Bonds,Preston Royal Branch Library - Renovation,2024,2024,13,10303,3830000,3819697,0,0,0,
2024,Cultural Facilities,34,2024 Bonds,Preston Royal Branch Library Renovation - 5626 Royal Ln. (Match),2025,2026,13,0,9039000,0,903900,8135100,0,
2024,Police Facilities,34,2024 Bonds,Property Division,2027,2027,7,0,16478,0,0,0,16478,
2024,Public Art,34,2006 Bonds,Public Art Admin - Economic Development,2024,2024,Citywide,0,25551,25551,0,0,0,
2024,Public Art,34,2006 Bonds,Public Art Admin - Flood Protection and,2024,2024,Citywide,0,195265,195265,0,0,0,
2024,Public Art,34,2006 Bonds,Public Art Admin - Streets and Transport,2024,2024,Citywide,27616,256507,228891,0,0,0,
2024,Public Art,35,2003 Bonds,Public Art Admin- Flood,2024,2024,Citywide,0,7385,7385,0,0,0,
2024,Public Art,35,2006 Bonds,Public Art Administration - Court Facilities,2024,2024,Citywide,0,3039,3039,0,0,0,
2024,Public Art,35,2006 Bonds,Public Art Administration - Farmers Market,2024,2024,Citywide,0,2158,2158,0,0,0,
2024,Public Art,35,2017 Bonds,Public Art Administration- Public Works,2024,2024,13,64611,178445,113834,0,0,0,
2024,Public Art,35,2006 Bonds,Public Art Projects - Economic Developme,2024,2024,Citywide,0,106593,106593,0,0,0,
2024,Public Art,35,2006 Bonds,Public Art Projects - Flood Protection a,2024,2024,Citywide,0,781073,781073,0,0,0,
2024,Public Art,35,2003 Bonds,Public Art Projects - Library Facilities,2024,2024,Citywide,34707,84280,49573,0,0,0,
2024,Public Art,35,2006 Bonds,Public Art Projects - Public Safety Faci,2024,2024,Citywide,111100,135141,24041,0,0,0,
2024,Public Art,35,2006 Bonds,Public Art Projects - Public Safety Facilities,2024,2024,Citywide,0,3837,3837,0,0,0,
