cip_year,project_type,source_page,department,project_name,start_year,end_year,previous_appropriations,project_total,year_2008,year_2009,year_2010,year_2011
2007,Library Facilities,37,City Facilities,Pleasant Grove Branch Library,,,6073660,6073660,0,0,0,0
2007,Police Facilities,37,City Facilities,Police Academy - Phase I,,,8001914,8001914,0,0,0,0
2007,Major Maintenance - Public Safety,38,City Facilities,Police and Courts Building,,,13790000,13790000,0,0,0,0
2007,Major Maintenance - Public Safety,38,City Facilities,Police Facilities,2010,2010,0,320000,0,0,320000,0
2007,Major Maintenance - Public Safety,38,City Facilities,Police Headquarters,2008,2008,0,450000,450000,0,0,0
2007,Major Maintenance - Public Safety,38,City Facilities,Police Property Room,2008,2008,0,300000,300000,0,0,0
2007,Police Facilities,38,City Facilities,Police Substation - Central,,,843567,843567,0,0,0,0
2007,Police Facilities,38,City Facilities,Police Substation - South Central,,,1317048,1317048,0,0,0,0
2007,Police Facilities,38,City Facilities,Police Substation,,,11968263,11968263,0,0,0,0
2007,Police Facilities,38,City Facilities,Police Substation - Southwest,,,1180046,1180046,0,0,0,0
2007,Library Facilities,38,City Facilities,Polk-Wisdom Branch Library Construction,2010,2010,0,3915422,0,0,3915422,0
2007,Library Facilities,38,City Facilities,Polk-Wisdom Branch Library- Design,2009,2009,0,503873,0,503873,0,0
2007,Library Facilities,39,City Facilities,Prairie Creek Branch Library (New),,,6604679,6604679,0,0,0,0
2007,Major Maintenance - Library,39,City Facilities,Preston Royal Branch Library,2008,2009,0,5611574,5000000,611574,0,0
2007,Public Art,39,City Facilities,Public Art Administration,2008,2010,1248090,2621311,307993,388348,372621,304259
2007,Public Art,40,City Facilities,Public Art Project-Homeless Assistance Facility,,,168955,168955,0,0,0,0
2007,Public Art,40,City Facilities,Public Art Projects,2008,2010,5409567,10902511,1231976,1553431,1490490,1217047
2007,Major Maintenance - Library,42,City Facilities,Renner-Frankford Branch Library,2009,2009,0,87500,0,87500,0,0
2007,Library Facilities,42,City Facilities,Renner-Frankford Branch Library Light Pole,2009,2009,0,12700,0,12700,0,0
2007,Major Maintenance - Library,42,City Facilities,Skyline Branch Library,2009,2009,51464,135704,0,84240,0,0
2007,Major Maintenance - Public Safety,42,City Facilities,Southeast Garage Roof Replacement,,,377505,377505,0,0,0,0
2007,Major Maintenance - Public Safety,42,City Facilities,Southeast Police,,,0,538366,0,0,0,538366
