cip_year,source_page,department,project_name,project_id,project_type,funding_source,address_location,comp_date,previous_appropriations,spent,remaining,year_2020,year_2021,year_2022,project_total,start_year,end_year
2019,154,Street & Transportation,Summit Ave from Rowena St to Alta Ave,V663,Street Resurfacing,2017 General Obligation Bond Program,2,9/30/20,0,0,0,121375,0,0,121375,2020,2020
2019,154,Street & Transportation,Sunbriar Ave from Godfrey Ave to Sarah Lee Dr,V514,Street Resurfacing,2017 General Obligation Bond Program,5,9/30/19,163165,0,163165,0,0,0,163165,,
2019,154,Street & Transportation,Sundial Dr from Dennis Rd to Satsuma Dr,V385,Street Resurfacing,2017 General Obligation Bond Program,13,9/30/19,491943,491943,0,0,0,0,491943,,
2019,154,Street & Transportation,Sunny Crest Ln From E Red Bird Ln To Woodburn Trl,V474,Street Resurfacing,2017 General Obligation Bond Program,3,9/30/19,54300,54300,0,0,0,0,54300,,
2019,154,Street & Transportation,Sunnyvale St from Ann Arbor Ave to Cummings St,V929,Street Resurfacing,2017 General Obligation Bond Program,4,9/30/19,0,0,0,35153,0,0,35153,2020,2020
2019,154,Street & Transportation,Sylvan Ave Phase Ii [Funding for Pedestrian Lightings],VA09,Thoroughfares,2017 General Obligation Bond Program,6,11/26/22,143795,143241,554,136719,0,106759,387273,2020,2022
2019,154,Street & Transportation,Sylvan -West Commerce to Singleton,U802,Thoroughfares,2006 General Obligation Bond Program / 2012 General Obligation Bond Program / Other GO CIP - Non- Debt,6,8/31/19,7333116,7287125,45991,0,0,0,7333116,,
2019,154,Street & Transportation,Sylvania Dr from Sinclair Ave to Vinemont St,V807,Street Resurfacing,2017 General Obligation Bond Program,9,9/30/22,0,0,0,0,0,687802,687802,2022,2022
2019,154,Street & Transportation,Sylvester St from Vargas St to Knight St,V527,Street Resurfacing,2017 General Obligation Bond Program,2,9/30/19,126676,126676,0,0,0,0,126676,,
2019,154,Street & Transportation,Sylvia Dr from Crest Ridge Dr to Desdemona Dr,V641,Street Resurfacing,2017 General Obligation Bond Program,9,9/30/20,0,0,0,90925,0,0,90925,2020,2020
2019,154,Street & Transportation,Syracuse Dr from Wake Forrest Dr to Wake Forrest Dr,V804,Street Resurfacing,2017 General Obligation Bond Program,9,9/30/22,0,0,0,0,0,715088,715088,2022,2022
2019,155,Street & Transportation,Tabor Dr from Kenwhite Dr to Cosgrove Dr,V365,Street Resurfacing,2017 General Obligation Bond Program,10,9/30/19,141693,141693,0,0,0,0,141693,,
2019,155,Street & Transportation,Tara Ln from Edgeglen Dr to Uarda Dr,V722,Street Resurfacing,2017 General Obligation Bond Program,5,9/30/19,54400,54400,0,0,0,0,54400,,
2019,155,Street & Transportation,Terry St from S Haskell Ave to S Peak St,V811,Street Resurfacing,2017 General Obligation Bond Program,2,9/30/21,0,0,0,0,103350,0,103350,2021,2021
2019,155,Street & Transportation,Timber Oaks Dr From Shadow Ridge Dr To Shadow Ridge Dr,V284,Street Reconstruction,2017 General Obligation Bond Program,12,7/17/22,80852,63527,17325,0,727666,0,808518,2021,2021
2019,155,Street & Transportation,Timberline Dr from Community Dr to Kendale Dr,V890,Street Resurfacing,2017 General Obligation Bond Program,6,9/30/20,0,0,0,78050,0,0,78050,2020,2020
2019,155,Street & Transportation,Tina Ln from Atha Dr to A4938,V563,Street Resurfacing,2017 General Obligation Bond Program,8,9/30/19,19450,19450,0,0,0,0,19450,,
2019,155,Street & Transportation,Tioga St from La Grange Dr to Bonnie View Rd,V874,Street Resurfacing,2017 General Obligation Bond Program,8,9/30/18,64175,64175,0,0,0,0,64175,,
2019,155,Street & Transportation,Tisinger Ave from Tascosa St to Ulloa Ln,V466,Street Resurfacing,2017 General Obligation Bond Program,9,9/30/19,79350,79350,0,0,0,0,79350,,
2019,155,Street & Transportation,Tobian St from Bellafonte Dr to Dandridge Dr,V452,Street Resurfacing,2017 General Obligation Bond Program,10,9/30/19,106399,106399,0,9551,0,0,115950,2020,2020
2019,155,Street & Transportation,Traffic Signal Installations,VA28,Public/Private Development,2017 General Obligation Bond Program,Citywide,9/30/22,6832736,1961392,4871344,0,11517264,0,18350000,2021,2021
2019,155,Street & Transportation,Traffic Signal Synchronization Project,VA27,Public/Private Development,2017 General Obligation Bond Program,9,9/30/22,2763974,2558724,205250,5270000,7496420,4674856,20205250,2020,2022
2019,155,Street & Transportation,Trammel Dr from Bennington Dr to Clemson Dr,V841,Street Resurfacing,2017 General Obligation Bond Program,9,9/30/22,0,0,0,0,0,680172,680172,2022,2022
2019,155,Street & Transportation,Trammel Dr from Clemson Dr to E Northwest hwy,V806,Street Resurfacing,2017 General Obligation Bond Program,9,9/30/22,0,0,0,0,0,567190,567190,2022,2022
2019,155,Street & Transportation,Trammel Dr from Fisher Rd to Bennington Dr,V791,Street Resurfacing,2017 General Obligation Bond Program,9,9/30/22,0,0,0,0,0,356796,356796,2022,2022
