cip_year,project_type,source_page,department,project_name,project_id,start_year,end_year,previous_appropriations,project_total,2022,2023,2024
2022,Street Reconstruction,189,2017 Bonds,Willis Ave from McMillan Ave to Worcola St - V235,V235.1,2022,2022,116165,612154,495989,0,0
2022,Street Resurfacing,189,2017 Bonds,Winsted Dr from Lakeforest Ct to Pasadena Pl - V588,V588.1,,,107256,107256,0,0,0
2022,Street Resurfacing,189,2017 Bonds,Winsted Dr from Lakewood Blvd to Westlake Ave - V719,V719.1,,,66714,66714,0,0,0
2022,Street Resurfacing,189,2017 Bonds,Winsted Dr from Pasadena Pl to White Rock Rd - V635,V635.1,,,51515,51515,0,0,0
2022,Street Resurfacing,190,2017 Bonds,Winsted Dr from Westlake Ave to Meadow Lake Ave - V753,V753.1,,,63009,63009,0,0,0
2022,Street Resurfacing,190,2017 Bonds,Woodbrook Dr from Ashcroft Ave to Stillwater Dr - V593,V593.1,,,73642,73642,0,0,0
2022,Street Reconstruction,190,2017 Bonds,Woodbrook Dr From Clearwater Dr To Graywood Dr - V274,V274.1,2022,2022,235014,252982,17969,0,0
2022,Street Reconstruction,190,2017 Bonds,Woodbrook Dr From Graywood Dr To Westfield Dr - V273,V273.1,2022,2022,212129,256791,44662,0,0
2022,Street Reconstruction,190,2017 Bonds,Woodmeadow From La Prada West To The End - S320,S320.1,2022,2022,47054,46892,(162),0,0
2022,Bridge Repair and Modification,190,2012 Bonds,Woodmeadow Parkway over Long Branch - P861,P861.1,2022,2022,2463,1642,(821),0,0
2022,Street Resurfacing,190,2017 Bonds,Woodspan Dr from Emberwood Dr to Fairwood - V509,V509.1,,,1247,1247,0,0,0
2022,Street Reconstruction,190,2017 Bonds,Woodwick Dr From W Camp Wisdom Ed To Clearwood Dr - V266,V266.1,2022,2022,534865,818267,283402,0,0
2022,Sidewalk and Barrier Free Ramp Improvements,190,2017 Bonds,Wright Street From S. Oak Cliff To Edgefield - V154,V154.1,2022,2023,80239,449545,(398),"369,704",0
2022,Target Neighborhood,190,2012 Bonds,Yancy S from Carbondale St to Saipan St - S610,S610.1,2022,2022,11840,12490,650,0,0
