cip_year,project_type,source_page,department,project_name,start_year,end_year,address_location,previous_appropriations,project_total,project_description,project_justification,unidentified_funding,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018
2012,Parks - Neighborhood,260,Park & Recreation,Hidden Trails Neighborhood Park,,,Council District: 8; Community Plan: Otay Mesa,2420000,3100000,"This project provides for the acquisition, design and construction of an approximately 4.0 use- able acre neighborhood park serving the Otay Mesa Community. Amenities may include an open turfed area and children's play area, as well as off-site improvements to serve the park.",This project provides population-based park acreage in accordance with the City's General Plan standards to accommodate the park and recreational needs of the residents within the Hidden Trails Subdivi- sion.,680000,0,0,0,0,0,0
2012,Parks - Trails,261,Park & Recreation,Hiking & Equestrian Trail Neighborhood Park #10,,,Council District: 1; Community Plan: Carmel Valley,620600,620600,This project provides for a multi-use trail connection from Del Mar Mesa to Carmel Valley.,"The construction of the identified trails or trail connections will contribute to completion of connectivity with the existing City and regional trail system, providing benefits to the community, including increased recreational opportunities, protection of senstive natural resources, and alternate transportation oppor- tunities to residents and visitors.",0,0,0,0,0,0,0
2012,Parks - Trails,262,Park & Recreation,Hiking & Equestrian Trails - Eastern Region,,,Council District: 1; Community Plan: Del Mar Mesa,229300,229300,"This project provides for the construction of an unimproved multi-use trail, 8,000 feet long extending easterly from the end of Z Street to the San Diego Gas and Electric (SDG&E) easement. The trail will continue southerly within the easement into Penasquitos Canyon.",This project provides additional recreational opportunities in Del Mar Mesa.,0,0,0,0,0,0,0
2012,Parks - Neighborhood,263,Park & Recreation,Home Avenue Park,2013,2014,Council District: 4; Community Plan: City Heights (Mid-City),4300150,5800150,"This project provides for the design and construction of a new neighborhood park, enhance- ments to Chollas Creek, and associated traffic improvements on Home Avenue for pedestrian crossing.",This project will contribute to satisfying the population-based park acreage requirements set forth in the City's General Plan.,600000,150000,750000,0,0,0,0
2012,Parks - Miscellaneous Parks,264,Park & Recreation,Hourglass Field House Parking Areas,,,Council District: 5; Community Plan: Mira Mesa,994849,994849,"This project provides for reimbursment to the San Diego Community College District for con- structing parking areas for public use for visitors to the Hourglass Field House, a joint-use facility with San Diego Miramar College.",This project will contribute to satisfying the population-based park acreage requirements set forth in the City's General Plan.,0,0,0,0,0,0,0
2012,Parks - Miscellaneous Parks,265,Park & Recreation,Joint Use Improvements - Citywide,,,Council District: Citywide; Community Plan: Citywide,737705,737705,This project provides for design and construction of miscellaneous improvements to existing irrigation systems of joint use facilities throughout the City.,"This project will provide necessary improvements per the joint use agreement renewal process. In order to upgrade the joint use facilities to meet current codes, regulations and standards, and to endure another 25 years of use pursuant to the terms of the joint use agreements, improvements have been identified by individual, on-site inspections and cost estimates.",0,0,0,0,0,0,0
2012,Bldg - Other City Facility / Structures,266,Park & Recreation,Kids Copy-Tubman,,,Council District: 4; Community Plan: Southeastern San Diego,4446,4446,"This project provides for the renovation upgrades to the Tubman/Chavez Center. This facility supports programs in education, health, business training, employment, arts and culture, computers and technol- ogy, as well as social recreational events for low to moderate income families.","This project provides for the renovation of the facility to address safety, accessibility and code requirements.",0,0,0,0,0,0,0
2012,Parks - Miscellaneous Parks,267,Park & Recreation,Kumeyaay Lakes Berm Restoration and Dredging,,,Council District: 7; Community Plan: Navajo,160000,10000000,This project provides for the dredging of two lakes and reconstruction of a lake berm within the Kumeyaay Lake system at Mission Trails Regional Park.,"A berm that surrounds the lakes was breached during the 1995-96 rainy season. Since that time, the San Diego River's flow has been redirected through the Kumeyaay Lakes, to the detriment of the lakes. Impacts include sedimentation of the lakes, the introduction of exotic invasive aquatic plants and the decline of an adjacent state wetland mitigation site through which the river once flowed. Dredging of the lakes to remove accumulated sediments and unwanted plant materials will restore the health and vitality of the lakes and the adjacent mitigation site, which depends upon a flowing water source.",9840000,0,0,0,0,0,0
2012,Parks - Miscellaneous Parks,268,Park & Recreation,La Mirada Elementary School Joint Use Phase II,,,Council District: 8; Community Plan: San Ysidro,164624,164625,"This project provides for the turfing of approximately two acres in Phase I and 1.7 acres in Phase II of undeveloped fields at La Mirada Elementary School. Improvements include a running track, a softball field, an accessible ramp to San Ysidro Activity Center, and relocation of the existing school garden for joint- use purposes.",This project will contribute to satisfying the population-based park acreage requirements set forth in the City's General Plan.,0,0,0,0,0,0,0
2012,Parks - Community,269,Park & Recreation,Lake Murray Community Park Play Area Expansion,2013,2013,Council District: 7; Community Plan: Navajo,212000,1450454,This project provides for accessibility upgrades and expansion of the children's play area and path of travel within the park. The project will include universal design concepts in compliance with state and federal safety and accessibility guidelines.,This project is needed to upgrade existing site improvements and play area facilities to meet current State and federal safety and accessibility regulations.,1088000,150454,0,0,0,0,0
