cip_year,project_type,source_page,department,project_name,project_id,start_year,end_year,address_location,previous_appropriations,project_total,project_description,project_justification,unidentified_funding,year_2018,year_2019,year_2020,year_2021,year_2022
2017,Bldg - Pub Safety - Fire Fac / Struct,136,Fire-Rescue,Fire Station No. 07 - Barrio Logan,S15013,,,Council District: 8; Community Plan: Barrio Logan,750000,12000000,"This project provides for land acquisition and the program, design and","This project will replace the existing 1957 Fire Station 7, which does not meet construction of a new fire station, demolition of the old station and design and assembly of a current SDFD operational needs. The new station will also meet future growth population of temporary fire station. The new permanent station will provide approximately 13,000 square Barrio Logan and the surrounding communities, consistent with San Diego Association of feet of work and living spaces, conference/training room, apparatus bay, dorm rooms, Governments 2050. kitchen, watch room, ready room, station alerting system, to accommodate the 24-hour",11250000,0,0,0,0,0
2017,Bldg - Pub Safety - Fire Fac / Struct,137,Fire-Rescue,Fire Station No. 08 - Mission Hills,S10029,,,Council District: 3; Community Plan: Uptown,1238499,1238499,This station is located at 3974 Goldfinch Street and it serves Mission Hills and,This project will allow for the accommodation of modern fire apparatus to meet,0,0,0,0,0,0
2017,Bldg - Pub Safety - Fire Fac / Struct,138,Fire-Rescue,Fire Station No. 15 - Ocean Beach Expansion,S13011,,,Council District: 2; Community Plan: Ocean Beach,689999,849999,Fire Station 15 serves the community of Ocean Beach and surrounding areas,Expansion of the existing station is needed to keep up with increased 2017. Construction will be,160000,0,0,0,0,0
2017,Bldg - Pub Safety - Fire Fac / Struct,139,Fire-Rescue,Fire Station No. 17 - Mid-City,S00783,,,Council District: 9; Community Plan: Mid-City: City Heights,10328624,10328624,This project provides for reconstructing the 50-year-old fire station at 4206,Fire Station No. 17 is one of the busiest engine companies in the United States 2016 and is estimated to be completed in Fiscal Year 2018. and is currently in a state of deterioration. Reconstruction of Fire Station No.17 will allow for,0,0,0,0,0,0
2017,Bldg - Pub Safety - Fire Fac / Struct,140,Fire-Rescue,Fire Station No. 22 - Point Loma,S00787,2018,2018,Council District: 2; Community Plan: Peninsula,8063160,9063160,This project provides for the demolition of an existing station and reconstruction,The existing fire station was built in the early 1940s and is now too small to Peninsula Community Plan and is in conformance with the City's General Plan. accommodate new fire engines. Many of the major components have exceeded their,0,1000000,0,0,0,0
2017,Bldg - Pub Safety - Fire Fac / Struct,141,Fire-Rescue,Fire Station No. 45 - E Mission Valley,S00688,,,Council District: 7; Community Plan: Mission Valley,10983691,10983691,This project provides for an updated fire station in Mission Valley. The station,A fire station is needed to serve the Mission Valley community. This project is 2014 and was completed in Fiscal Year 2016. The warranty phase will be completed in Fiscal consistent with City Council policy to meet response time guidelines. year 2018.,0,0,0,0,0,0
2017,Bldg - Pub Safety - Fire Fac / Struct,142,Fire-Rescue,Fire Station No. 48 - Black Mountain Ranch,S15015,2018,2019,Council District: 5; Community Plan: Black Mountain Ranch,2700000,13391308,"This project provides for the land acquisition, design and construction of a new",This project will provide for the much needed Fire Station to meet the Black Mountain Ranch Public Facilities Financing Plan. emergency response times of the community. See Black Mountain Ranch Facilities Financing Plan projects.,0,3995654,6695654,0,0,0
2017,Bldg - Pub Safety - Fire Fac / Struct,143,Fire-Rescue,Fire Station No. 49 - Otay Mesa,S00784,2019,2020,Council District: 8; Community Plan: Otay Mesa - Nestor; Otay Mesa,76413,8399999,"This project provides for an approximately 13,000 square foot double-house fire",A second fire station is needed to serve the Otay Mesa and neighboring,0,0,1861176,6462410,0,0
2017,Bldg - Pub Safety - Fire Fac / Struct,144,Fire-Rescue,Fire Station No. 50 - North University City,S13021,,,Council District: 1; Community Plan: University,13999999,13999999,This new facility will provide support to the University City area and will provide,An additional fire station is needed in this area to ensure consistency with the,0,0,0,0,0,0
2017,Bldg - Pub Safety - Fire Fac / Struct,145,Fire-Rescue,Fire Station No. 51 - Skyline Hills,S14017,,,Council District: 4; Community Plan: Skyline - Paradise Hills,999999,13311999,This project provides for the design and construction of a permanent station to,An additional fire station is needed in this area to meet response time,12312000,0,0,0,0,0
