cip_year,source_page,department,project_type,project_name,project_id,address_location,previous_appropriations,project_total,project_description,project_justification,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,start_year,end_year,computed_total,residual,validation_label
2008,320,Library,Library,San Diego Main Library,35-082.0,Council District: 2; Community Plan: Centre City,75870803,184900000,"This project provides for the design and construction of a new main library of approximately 500,000 square-feet, with approximately 250 underground parking spaces dedicated to library patrons. It will be large enough to accommodate library needs for 20 years and contain expansion space to accommodate growth for another 30 years. The expansion space will be leased as office space until required for library purposes. The lobby will open into a courtyard, which will contain an outdoor cafe, and there will be a 350-seat auditorium adjacent to the lobby. The top floor will house special collections and provide public amenities including an airy reading room, a 400-seat multi-purpose room, an art gallery, a small public meeting room, and a series of open terraces.","The existing library is too small to provide adequate library and informational services to the region, and cannot support the technological and programmatic needs of the future.",0,0,109029197,0,0,0,0,0,0,0,0,0,2010,2010,184900000,0,
2008,322,Library,Library,San Ysidro Branch Library,35-093.0,Council District: 8; Community Plan: San Ysidro,316000,14686000,"This project provides for a 15,000 square-foot facility to serve the San Ysidro Community. Discussions are currently underway with the Redevelopment Agency of the City of San Diego to build the new library as part of a redevelopment project currently planned along San Ysidro Boulevard.","The existing library, built in 1924 and remodeled in 1983, is only 4,089 square feet. It contains no meeting rooms or computer lab, no on-site parking, and no separation of the children's area and quiet study areas.",0,0,1629100,12740900,0,0,0,0,0,0,0,0,2010,2011,14686000,0,
2008,323,Library,Library,Scripps Ranch Branch Library,35-112.0,Council District: 5; Community Plan: Scripps Miramar Ranch,35600,1126000,This project provides for an expansion of the Scripps Ranch Branch Library parking lot located at 10301 Scripps Lake Drive. This project is part of the 21st Century Library System/Library Department Facility Improvements Program.,The current facility is fully occupied and the current parking lot does not have the capacity to serve the needs of the community.,0,0,0,1090400,0,0,0,0,0,0,0,0,2011,2011,1126000,0,
2008,324,Library,Library,Skyline Hills Branch Library,35-107.0,Council District: 4; Community Plan: Skyline/Paradise Hills,5504252,11619000,"This project provides for a 15,000 square-foot library expansion to the existing facility located at 480 South Meadowbrook Drive. This project is part of the 21st Century Library System/Library Department Facility Improvements Program.","The existing facility is too small to provide adequate library services to the community. There are no meeting room facilities or computer lab, and limited collection space and patron seating.",0,0,0,6114748,0,0,0,0,0,0,0,0,2011,2011,11619000,0,
2008,327,Metropolitan Wastewater,Sewer - Metropolitan,Annual Allocation - Clean Water Program Pooled Contingencies,46-502.0,Council District: Citywide; Community Plan: Citywide,,136225,This annual allocation provides for Capital Improvements Program (CIP) contingency needs for Metropolitan Sewer projects.,This project will provide better CIP budget control. Project contingency needs (except annual allocation projects) will be met by this annual allocation.,,136225,,,,,,,,,,,2009,2009,136225,0,
2008,328,Metropolitan Wastewater,Sewer - Metropolitan,Annual Allocation - Metro Biosolids Center,42-913.0,Council District: 7; Community Plan: No Community Planning Area,,674918,This annual allocation provides for minor renovation or replacement of facilities at the Metro Biosolids Center treatment plant and associated facilities.,"The Metro Biosolids Center became operational in 1999. Since the start-up period, several projects will be required within this facility to enhance or maintain operation. This annual allocation will be considered an enhancement to the facility and does not include operation and maintenance.",,674918,,,,,,,,,,,2009,2009,674918,0,
2008,329,Metropolitan Wastewater,Sewer - Metropolitan,Annual Allocation - Metro Operations Center,45-956.0,Council District: 6; Community Plan: Kearny Mesa,,129075,This annual allocation provides for minor renovations or upgrades to the Metropolitan Operations Center (MOC) facilities.,"This annual allocation provides for renovation/upgrades to the various facilities that comprise the MOC. The MOC facilities are used to house Metropolitan Wastewater Department (MWWD) employees, as well as warehouse/storage space for MWWD assets and vehicles.",,129075,,,,,,,,,,,2009,2009,129075,0,
2008,330,Metropolitan Wastewater,Sewer - Metropolitan,Annual Allocation - Metropolitan Sewer Pooled Contingencies,46-501.0,Council District: Citywide; Community Plan: Citywide,,81095,This annual allocation provides for Capital Improvements Program (CIP) project pooled contingency needs for Metropolitan Sewer Fund projects.,This project will provide better CIP budget control. Project contingency needs (except annual allocation projects) will be met by this annual allocation.,,81095,,,,,,,,,,,2009,2009,81095,0,
2008,331,Metropolitan Wastewater,Sewer - Metropolitan,Annual Allocation - Metropolitan System Pump Stations,41-926.0,"Council District: 2, 8; Community Plan: Midway/Pacific Highway Corridor, Barrio Logan",,6500000,"This annual allocation provides for comprehensive upgrades, design modifications, and major renovations or replacement of major equipment, such as pumps, valves, tanks, controls, odor control systems, etc. at Metropolitan System Pump Stations. The allocation also provides for the addition of an office/shop/storage building.",These improvements will allow the pump stations to be run more efficiently and increase the reliability of the Metropolitan Wastewater System.,,6500000,,,,,,,,,,,2009,2009,6500000,0,
2008,332,Metropolitan Wastewater,Sewer - Metropolitan,Annual Allocation - North City Water Reclamation Plant,42-926.0,Council District: 1; Community Plan: University,,473741,This annual allocation provides for minor renovation or replacement of facilities at the North City Water Reclamation Plant (NCWRP) and associated facilities.,"The NCWRP became operational in mid-1997. Since the start-up period, several projects will be required within this facility to enhance or maintain operation.",,473741,,,,,,,,,,,2009,2009,473741,0,
